model,validation_season,dimension,segment,rows,weight,actual_rate,predicted_rate,mean_bias,brier,weighted_excess_vs_fold_reference
constant,2023,batter_team_id,13,35157,0.1431911210671011,0.5137525955001849,0.5395365039034486,0.025783908403263722,0.25047567604955623,6.8112848681283e-05
constant,2023,batter_team_id,14,23947,0.09753385602280827,0.48715914310769615,0.5395365039034486,0.0523773607957525,0.25257850031819984,0.00025149125716859025
constant,2023,batter_team_id,15,22780,0.0927807758884024,0.4982001755926251,0.5395365039034486,0.04133632831082357,0.25170545267032285,0.00015823339167917117
constant,2023,batter_team_id,16,22529,0.09175847673353019,0.5023303297971503,0.5395365039034486,0.03720617410629834,0.2513788689546647,0.0001265230827111878
constant,2023,batter_team_id,17,24225,0.09866612361266673,0.5043550051599587,0.5395365039034486,0.03518149874348997,0.25121877178389496,0.0001202516679347228
constant,2023,batter_team_id,18,22287,0.0907728337236534,0.5051823933234622,0.5395365039034486,0.0343541105799865,0.25115334771318293,0.00010469280620767753
constant,2023,batter_team_id,19,22516,0.09170552896853681,0.4927607034997335,0.5395365039034486,0.04677580040371515,0.2521355680895895,0.00019584356902329383
constant,2023,batter_team_id,20,23033,0.09381122085327359,0.5007597794468805,0.5395365039034486,0.0387767244565681,0.2515030570947727,0.0001410037926430415
constant,2023,batter_team_id,21,23682,0.09645453619794318,0.48961236382062323,0.5395365039034486,0.04992414008282542,0.25238451677761453,0.00022999763624559016
constant,2023,batter_team_id,23,1206,0.00491192342938601,0.48507462686567165,0.5395365039034486,0.054461877037776996,0.252743329287279,1.3475032384065492e-05
constant,2024,game_month,3,12361,0.04875999479304319,0.5026292371167381,0.5315815109059132,0.028952273789175087,0.25083132126974733,4.9949471117920086e-05
constant,2024,game_month,4,42588,0.16799536107484211,0.49213393444162673,0.5315815109059132,0.03944757646428648,0.2514942363015371,0.000283460176215158
constant,2024,game_month,5,44078,0.17387291080719663,0.4878851127546622,0.5315815109059132,0.04369639815125104,0.25176260471842543,0.00034003941979138903
constant,2024,game_month,6,44514,0.17559278442015408,0.48757694208563596,0.5315815109059132,0.04400456882027726,0.25178206970911493,0.0003468208506269333
constant,2024,game_month,7,33070,0.13045004674427135,0.47989114000604777,0.5315815109059132,0.051690370899865445,0.2522675281935093,0.00032098557243931544
